,id,key,sex
23902,1235,M/1235/135883/1235-135883-0046,M
9813,8051,F/8051/295385/8051-295385-0034,F
14359,2391,F/2391/145015/2391-145015-0000,F
80,441,F/441/128982/441-128982-0020,F
3077,625,M/625/132112/625-132112-0045,M
23797,8747,M/8747/293952/8747-293952-0059,M
12329,3983,F/3983/5371/3983-5371-0045,F
5633,458,M/458/126290/458-126290-0007,M
19648,2416,F/2416/152137/2416-152137-0009,F
11624,5808,M/5808/54425/5808-54425-0009,M
14925,1447,F/1447/130552/1447-130552-0003,F
2677,7859,F/7859/102519/7859-102519-0021,F
12270,887,F/887/123290/887-123290-0008,F
15553,8088,M/8088/284756/8088-284756-0039,M
13424,1841,F/1841/179183/1841-179183-0030,F
10248,211,F/211/122442/211-122442-0071,F
8813,4441,M/4441/76262/4441-76262-0003,M
12473,7113,F/7113/86041/7113-86041-0094,F
13395,1841,F/1841/159771/1841-159771-0006,F
18266,1069,F/1069/133709/1069-133709-0032,F
23841,8747,M/8747/293952/8747-293952-0024,M
19620,1502,F/1502/122615/1502-122615-0034,F
22871,3259,F/3259/158083/3259-158083-0122,F
23067,322,F/322/124147/322-124147-0052,F
21347,229,M/229/130880/229-130880-0070,M
8542,730,F/730/358/730-358-0025,F
13550,2764,F/2764/36617/2764-36617-0012,F
17846,2836,F/2836/5354/2836-5354-0033,F
12618,5778,F/5778/12761/5778-12761-0000,F
22787,7302,F/7302/86814/7302-86814-0045,F
2406,5867,F/5867/48852/5867-48852-0049,F
16427,3699,M/3699/19401/3699-19401-0007,M
16367,3699,M/3699/19402/3699-19402-0004,M
24632,8098,M/8098/278252/8098-278252-0007,M
26552,298,F/298/126791/298-126791-0038,F
7792,2911,M/2911/12359/2911-12359-0000,M
11204,163,M/163/122947/163-122947-0073,M
23312,198,F/198/209/198-209-0015,F
20532,40,F/40/222/40-222-0054,F
2500,4406,M/4406/16882/4406-16882-0053,M
26628,298,F/298/126790/298-126790-0040,F
13860,4340,F/4340/15220/4340-15220-0062,F
2777,1183,F/1183/128659/1183-128659-0013,F
26289,911,M/911/128684/911-128684-0021,M
553,7447,M/7447/91187/7447-91187-0027,M
24374,2002,M/2002/139469/2002-139469-0042,M
15792,226,F/226/131533/226-131533-0023,F
22354,39,F/39/121914/39-121914-0009,F
18720,196,M/196/122150/196-122150-0027,M
4383,6272,F/6272/70191/6272-70191-0030,F
21239,446,M/446/123502/446-123502-0020,M
25611,4267,M/4267/287369/4267-287369-0016,M
7400,7780,F/7780/274562/7780-274562-0022,F
19758,1970,F/1970/28415/1970-28415-0026,F
5017,2384,M/2384/152900/2384-152900-0009,M
23417,198,F/198/129977/198-129977-0017,F
20034,4018,M/4018/103416/4018-103416-0006,M
4909,5322,M/5322/7679/5322-7679-0016,M
5340,4160,F/4160/11550/4160-11550-0019,F
8370,403,F/403/216/403-216-0006,F
7111,1723,M/1723/141149/1723-141149-0053,M
3001,4362,F/4362/15663/4362-15663-0038,F
7431,2817,F/2817/142371/2817-142371-0075,F
12673,5778,F/5778/54535/5778-54535-0026,F
27206,8629,M/8629/261140/8629-261140-0035,M
2572,7264,M/7264/92316/7264-92316-0023,M
24338,2002,M/2002/139469/2002-139469-0068,M
14571,289,F/289/121665/289-121665-0012,F
3965,587,F/587/54108/587-54108-0049,F
16165,5561,F/5561/39621/5561-39621-0038,F
10800,6147,F/6147/34606/6147-34606-0021,F
22989,322,F/322/124147/322-124147-0082,F
26481,27,M/27/124992/27-124992-0039,M
26993,2436,M/2436/2476/2436-2476-0040,M
5099,1334,M/1334/135589/1334-135589-0100,M
22090,2518,M/2518/154825/2518-154825-0042,M
2119,7148,F/7148/82991/7148-82991-0013,F
15078,3374,M/3374/298025/3374-298025-0021,M
17323,6181,M/6181/216552/6181-216552-0112,M
13409,1841,F/1841/179183/1841-179183-0016,F
20669,7517,F/7517/100437/7517-100437-0008,F
4730,2989,F/2989/138035/2989-138035-0022,F
9834,8051,F/8051/295385/8051-295385-0004,F
18800,3440,F/3440/171009/3440-171009-0034,F
18059,2843,M/2843/152918/2843-152918-0008,M
236,307,M/307/127535/307-127535-0041,M
10925,1594,M/1594/135914/1594-135914-0021,M
9982,3240,M/3240/131231/3240-131231-0056,M
15522,8088,M/8088/284756/8088-284756-0027,M
25475,2159,M/2159/179156/2159-179156-0021,M
12790,5163,F/5163/18515/5163-18515-0043,F
18880,4397,M/4397/15666/4397-15666-0020,M
5533,1116,F/1116/137572/1116-137572-0004,F
3626,4195,F/4195/186236/4195-186236-0007,F
10606,8324,F/8324/286682/8324-286682-0028,F
10539,8324,F/8324/286683/8324-286683-0012,F
13426,1841,F/1841/179183/1841-179183-0017,F
19436,6880,M/6880/216547/6880-216547-0054,M
3709,4195,F/4195/186237/4195-186237-0014,F
16051,125,F/125/121124/125-121124-0022,F
16419,3699,M/3699/19401/3699-19401-0005,M
963,6476,F/6476/57446/6476-57446-0067,F
23654,1355,M/1355/39947/1355-39947-0024,M
4913,5322,M/5322/7679/5322-7679-0001,M
1422,8630,M/8630/305212/8630-305212-0031,M
23154,6454,M/6454/120342/6454-120342-0023,M
4970,2384,M/2384/152900/2384-152900-0048,M
23268,831,M/831/130746/831-130746-0032,M
15392,1578,F/1578/140045/1578-140045-0017,F
14232,5049,M/5049/25947/5049-25947-0082,M
6054,1455,M/1455/138263/1455-138263-0011,M
14806,2092,F/2092/145706/2092-145706-0076,F
28377,87,F/87/121553/87-121553-0031,F
24765,7059,F/7059/77900/7059-77900-0003,F
8456,730,F/730/359/730-359-0008,F
28464,8425,M/8425/246962/8425-246962-0007,M
19048,4788,M/4788/294466/4788-294466-0014,M
7597,3947,F/3947/13260/3947-13260-0043,F
157,6415,F/6415/111615/6415-111615-0017,F
19541,1502,F/1502/122619/1502-122619-0068,F
22230,5104,M/5104/33406/5104-33406-0028,M
7387,7780,F/7780/274562/7780-274562-0063,F
13996,7226,M/7226/86964/7226-86964-0021,M
10569,8324,F/8324/286682/8324-286682-0009,F
3017,4362,F/4362/15663/4362-15663-0068,F
15351,233,M/233/155990/233-155990-0029,M
12927,8095,M/8095/274346/8095-274346-0001,M
17719,405,M/405/130895/405-130895-0010,M
16911,4813,M/4813/248641/4813-248641-0039,M
16270,78,M/78/369/78-369-0031,M
25520,2159,M/2159/179157/2159-179157-0021,M
15450,1578,F/1578/140049/1578-140049-0005,F
25668,4267,M/4267/78186/4267-78186-0032,M
14989,1447,F/1447/130550/1447-130550-0022,F
25164,2893,M/2893/139310/2893-139310-0002,M
373,2952,M/2952/410/2952-410-0016,M
15862,4859,M/4859/29340/4859-29340-0031,M
20541,40,F/40/222/40-222-0041,F
25720,302,F/302/123523/302-123523-0021,F
17725,405,M/405/130895/405-130895-0034,M
2653,7859,F/7859/102521/7859-102521-0011,F
13771,7794,F/7794/295948/7794-295948-0013,F
17160,6209,M/6209/34601/6209-34601-0024,M
24245,5789,F/5789/57195/5789-57195-0017,F
11368,1246,F/1246/124548/1246-124548-0002,F
23388,198,F/198/126831/198-126831-0036,F
9267,4014,M/4014/186175/4014-186175-0011,M
12857,6064,F/6064/300880/6064-300880-0030,F
27643,909,M/909/131041/909-131041-0017,M
1537,1081,M/1081/125237/1081-125237-0021,M
26500,27,M/27/124992/27-124992-0050,M
22660,8465,F/8465/246943/8465-246943-0014,F
111,441,F/441/128982/441-128982-0007,F
23951,1235,M/1235/135887/1235-135887-0030,M
1995,8770,M/8770/295465/8770-295465-0019,M
8196,8468,F/8468/294887/8468-294887-0036,F
26305,911,M/911/128684/911-128684-0001,M
20947,7511,F/7511/102419/7511-102419-0012,F
22268,5104,M/5104/33406/5104-33406-0032,M
14149,3607,M/3607/29116/3607-29116-0020,M
25381,89,F/89/218/89-218-0049,F
1329,3526,F/3526/176653/3526-176653-0050,F
17785,6563,M/6563/285357/6563-285357-0024,M
9912,8051,F/8051/119902/8051-119902-0011,F
24321,2002,M/2002/139469/2002-139469-0074,M
26166,3723,M/3723/171631/3723-171631-0001,M
1178,6531,F/6531/61334/6531-61334-0112,F
18178,1069,F/1069/133699/1069-133699-0000,F
10760,6147,F/6147/34605/6147-34605-0012,F
18663,196,M/196/122152/196-122152-0016,M
3253,426,F/426/122822/426-122822-0010,F
18878,4397,M/4397/15666/4397-15666-0008,M
10784,6147,F/6147/34606/6147-34606-0029,F
13507,2764,F/2764/36616/2764-36616-0032,F
5281,4160,F/4160/11549/4160-11549-0032,F
583,7447,M/7447/91187/7447-91187-0045,M
11059,2910,F/2910/131096/2910-131096-0019,F
3829,3112,F/3112/9554/3112-9554-0020,F
6749,311,M/311/124404/311-124404-0073,M
13714,7794,F/7794/295947/7794-295947-0045,F
4372,6272,F/6272/70171/6272-70171-0023,F
13855,4340,F/4340/15220/4340-15220-0064,F
28428,8425,M/8425/287387/8425-287387-0002,M
13508,2764,F/2764/36616/2764-36616-0035,F
12988,8095,M/8095/274345/8095-274345-0013,M
18581,4137,F/4137/11701/4137-11701-0011,F
1016,6476,F/6476/57446/6476-57446-0004,F
1702,1963,F/1963/142393/1963-142393-0032,F
20672,7517,F/7517/100437/7517-100437-0014,F
24798,3982,F/3982/178459/3982-178459-0063,F
12667,5778,F/5778/54535/5778-54535-0017,F
4080,4051,F/4051/11218/4051-11218-0006,F
15995,125,F/125/121124/125-121124-0069,F
6711,311,M/311/124404/311-124404-0040,M
4657,201,M/201/127786/201-127786-0049,M
20161,6529,M/6529/62556/6529-62556-0039,M
7151,1723,M/1723/141149/1723-141149-0096,M
4250,254,M/254/127705/254-127705-0003,M
26275,911,M/911/128684/911-128684-0059,M
26746,3879,F/3879/173592/3879-173592-0024,F
360,2952,M/2952/410/2952-410-0015,M
9962,3240,M/3240/131231/3240-131231-0075,M
12749,5163,F/5163/18515/5163-18515-0025,F
11180,3857,M/3857/182315/3857-182315-0038,M
1503,1081,M/1081/125237/1081-125237-0067,M
15398,1578,F/1578/140045/1578-140045-0019,F
17287,6181,M/6181/216552/6181-216552-0046,M
27503,7367,M/7367/86737/7367-86737-0035,M
1734,1963,F/1963/142776/1963-142776-0027,F
9604,8797,M/8797/294123/8797-294123-0013,M
27933,5393,F/5393/19218/5393-19218-0029,F
12536,5514,F/5514/19192/5514-19192-0022,F
12861,6064,F/6064/300880/6064-300880-0032,F
25017,1553,F/1553/140047/1553-140047-0027,F
23230,831,M/831/130739/831-130739-0058,M
12571,5514,F/5514/19193/5514-19193-0022,F
16219,78,M/78/369/78-369-0029,M
22543,4297,F/4297/13009/4297-13009-0021,F
17013,2136,M/2136/5143/2136-5143-0042,M
14046,7226,M/7226/86964/7226-86964-0026,M
11596,5808,M/5808/54425/5808-54425-0026,M
18877,4397,M/4397/15666/4397-15666-0021,M
17112,6209,M/6209/34599/6209-34599-0006,M
5301,4160,F/4160/11549/4160-11549-0009,F
15561,8088,M/8088/284756/8088-284756-0032,M
27899,2289,M/2289/152258/2289-152258-0007,M
4943,2384,M/2384/152900/2384-152900-0088,M
1069,6531,F/6531/61334/6531-61334-0100,F
27019,2436,M/2436/2476/2436-2476-0005,M
25938,83,F/83/9960/83-9960-0031,F
10003,3240,M/3240/131232/3240-131232-0019,M
12560,5514,F/5514/19193/5514-19193-0023,F
16461,4680,F/4680/16041/4680-16041-0030,F
1272,6848,M/6848/76049/6848-76049-0034,M
13951,1263,F/1263/141777/1263-141777-0006,F
22179,2182,F/2182/181183/2182-181183-0025,F
4137,4051,F/4051/11218/4051-11218-0020,F
5235,4640,F/4640/19189/4640-19189-0009,F
1019,6476,F/6476/57446/6476-57446-0009,F
22172,2182,F/2182/181183/2182-181183-0029,F
14899,1447,F/1447/17506/1447-17506-0015,F
25740,302,F/302/123523/302-123523-0000,F
18818,3440,F/3440/171006/3440-171006-0003,F
17613,1737,F/1737/142397/1737-142397-0012,F
25296,6818,F/6818/68772/6818-68772-0004,F
17592,1737,F/1737/142397/1737-142397-0001,F
21402,8609,M/8609/262281/8609-262281-0028,M
19950,5750,M/5750/100289/5750-100289-0030,M
15193,5339,F/5339/14134/5339-14134-0074,F
22774,7302,F/7302/86814/7302-86814-0027,F
2040,8770,M/8770/295463/8770-295463-0010,M
27093,2436,M/2436/2481/2436-2481-0000,M
13985,1263,F/1263/138246/1263-138246-0010,F
11557,5808,M/5808/48608/5808-48608-0028,M
991,6476,F/6476/57446/6476-57446-0002,F
15839,226,F/226/131532/226-131532-0021,F
6709,311,M/311/124404/311-124404-0009,M
3825,3112,F/3112/9554/3112-9554-0021,F
19663,2416,F/2416/152137/2416-152137-0016,F
1138,6531,F/6531/61334/6531-61334-0121,F
6199,481,M/481/123719/481-123719-0035,M
180,6415,F/6415/111615/6415-111615-0034,F
426,2952,M/2952/408/2952-408-0015,M
26490,27,M/27/124992/27-124992-0037,M
11779,1992,F/1992/141719/1992-141719-0039,F
8108,2514,M/2514/149482/2514-149482-0005,M
15656,6078,F/6078/54013/6078-54013-0053,F
3784,3112,F/3112/9555/3112-9555-0077,F
24899,3982,F/3982/182255/3982-182255-0044,F
15138,5339,F/5339/14134/5339-14134-0015,F
7294,6019,M/6019/3185/6019-3185-0054,M
3065,625,M/625/132112/625-132112-0025,M
13297,332,M/332/128985/332-128985-0061,M
8918,150,F/150/126107/150-126107-0001,F
25555,2159,M/2159/179154/2159-179154-0033,M
5549,1116,F/1116/137572/1116-137572-0042,F
20993,7511,F/7511/102420/7511-102420-0000,F
20293,7078,F/7078/271888/7078-271888-0027,F
5465,7190,M/7190/90542/7190-90542-0010,M
15930,4859,M/4859/26870/4859-26870-0020,M
14122,3607,M/3607/29116/3607-29116-0025,M
25559,2159,M/2159/179154/2159-179154-0036,M
5995,1363,F/1363/135842/1363-135842-0033,F
3296,7278,M/7278/91083/7278-91083-0007,M
22332,5104,M/5104/33407/5104-33407-0033,M
16734,1898,F/1898/145715/1898-145715-0048,F
4759,2989,F/2989/138028/2989-138028-0030,F
19570,1502,F/1502/122619/1502-122619-0056,F
749,5703,M/5703/47198/5703-47198-0028,M
6296,481,M/481/123720/481-123720-0005,M
19913,5750,M/5750/100289/5750-100289-0007,M
18362,248,F/248/130652/248-130652-0021,F
20805,3235,F/3235/28433/3235-28433-0028,F
11863,7402,M/7402/90848/7402-90848-0062,M
18412,8123,F/8123/275193/8123-275193-0023,F
25550,2159,M/2159/179154/2159-179154-0017,M
11777,1992,F/1992/141719/1992-141719-0046,F
19357,1743,M/1743/142912/1743-142912-0003,M
6104,1455,M/1455/138263/1455-138263-0043,M
18533,4137,F/4137/11702/4137-11702-0038,F
3484,118,M/118/47824/118-47824-0030,M
11177,3857,M/3857/182315/3857-182315-0034,M
26246,3723,M/3723/171115/3723-171115-0036,M
7321,7780,F/7780/274562/7780-274562-0036,F
22811,7302,F/7302/86814/7302-86814-0018,F
14220,5049,M/5049/25947/5049-25947-0002,M
10306,211,F/211/122442/211-122442-0083,F
21544,3168,M/3168/173564/3168-173564-0030,M
19450,6880,M/6880/216547/6880-216547-0072,M
11578,5808,M/5808/48608/5808-48608-0000,M
1831,1040,M/1040/133433/1040-133433-0038,M
5078,1334,M/1334/135589/1334-135589-0032,M
23305,198,F/198/209/198-209-0027,F
21340,229,M/229/130880/229-130880-0037,M
22877,3259,F/3259/158083/3259-158083-0120,F
13024,4830,M/4830/25898/4830-25898-0034,M
18160,2843,M/2843/152918/2843-152918-0019,M
12283,3983,F/3983/5371/3983-5371-0001,F
25554,2159,M/2159/179154/2159-179154-0018,M
19725,2416,F/2416/152139/2416-152139-0036,F
7051,1034,M/1034/121119/1034-121119-0054,M
21062,460,M/460/172359/460-172359-0067,M
7263,6019,M/6019/3185/6019-3185-0090,M
4605,201,M/201/127786/201-127786-0006,M
6809,1624,M/1624/168623/1624-168623-0006,M
3568,445,M/445/123860/445-123860-0016,M
23773,8747,M/8747/293952/8747-293952-0023,M
10703,328,F/328/129766/328-129766-0003,F
17828,6563,M/6563/63821/6563-63821-0024,M
25344,89,F/89/218/89-218-0027,F
12385,3983,F/3983/5331/3983-5331-0004,F
27305,4088,F/4088/158077/4088-158077-0098,F
9705,374,M/374/180299/374-180299-0023,M
24613,8098,M/8098/278252/8098-278252-0031,M
3098,625,M/625/132112/625-132112-0057,M
16049,125,F/125/121124/125-121124-0044,F
16397,3699,M/3699/47246/3699-47246-0017,M
12358,3983,F/3983/5331/3983-5331-0035,F
18670,196,M/196/122152/196-122152-0027,M
19064,3486,M/3486/166424/3486-166424-0015,M
21991,412,M/412/126975/412-126975-0085,M
7521,2817,F/2817/142380/2817-142380-0034,F
950,6476,F/6476/96661/6476-96661-0028,F
7931,6925,M/6925/80680/6925-80680-0040,M
7646,7178,F/7178/34645/7178-34645-0023,F
498,7447,M/7447/91186/7447-91186-0041,M
23831,8747,M/8747/293952/8747-293952-0034,M
12916,8095,M/8095/274348/8095-274348-0002,M
20709,3235,F/3235/28452/3235-28452-0007,F
12863,6064,F/6064/300880/6064-300880-0025,F
4785,2989,F/2989/138028/2989-138028-0074,F
10859,1594,M/1594/135914/1594-135914-0070,M
6976,3214,M/3214/167606/3214-167606-0008,M
17483,32,F/32/21625/32-21625-0008,F
4204,4051,F/4051/11217/4051-11217-0012,F
26708,3879,F/3879/173592/3879-173592-0031,F
12411,7113,F/7113/86041/7113-86041-0059,F
16547,4680,F/4680/16042/4680-16042-0013,F
23532,4898,M/4898/20016/4898-20016-0009,M
15095,3374,M/3374/298032/3374-298032-0002,M
11176,3857,M/3857/182315/3857-182315-0033,M
24890,3982,F/3982/182255/3982-182255-0003,F
7580,3947,F/3947/13262/3947-13262-0032,F
16731,1898,F/1898/145715/1898-145715-0039,F
26417,27,M/27/123349/27-123349-0051,M
26788,5192,M/5192/19397/5192-19397-0016,M
2309,5867,F/5867/48852/5867-48852-0046,F
24193,5789,F/5789/70653/5789-70653-0013,F
3325,7278,M/7278/246956/7278-246956-0014,M
16963,2136,M/2136/5147/2136-5147-0030,M
3071,625,M/625/132112/625-132112-0006,M
9902,8051,F/8051/119902/8051-119902-0024,F
18631,196,M/196/122159/196-122159-0031,M
5082,1334,M/1334/135589/1334-135589-0063,M
5422,7190,M/7190/90542/7190-90542-0070,M
12347,3983,F/3983/5331/3983-5331-0036,F
9941,3240,M/3240/131231/3240-131231-0081,M
24471,8014,F/8014/112602/8014-112602-0030,F
3486,118,M/118/47824/118-47824-0019,M
5910,7635,F/7635/105661/7635-105661-0017,F
25492,2159,M/2159/179157/2159-179157-0029,M
10592,8324,F/8324/286682/8324-286682-0032,F
17607,1737,F/1737/142397/1737-142397-0007,F
13082,4830,M/4830/25904/4830-25904-0017,M
19916,5750,M/5750/100289/5750-100289-0004,M
12810,6064,F/6064/56168/6064-56168-0007,F
21279,229,M/229/130880/229-130880-0032,M
22478,4297,F/4297/13006/4297-13006-0016,F
11638,5808,M/5808/54425/5808-54425-0010,M
15851,4859,M/4859/29340/4859-29340-0001,M
25403,89,F/89/219/89-219-0017,F
12254,887,F/887/123290/887-123290-0015,F
26516,27,M/27/124992/27-124992-0034,M
21867,1098,F/1098/133695/1098-133695-0045,F
20902,6385,F/6385/34669/6385-34669-0030,F
16286,78,M/78/368/78-368-0016,M
16643,2196,F/2196/174172/2196-174172-0011,F
2798,1183,F/1183/133255/1183-133255-0010,F
26042,5688,F/5688/41232/5688-41232-0062,F
22916,3259,F/3259/158083/3259-158083-0011,F
3636,4195,F/4195/186236/4195-186236-0021,F
3558,445,M/445/123857/445-123857-0028,M
17617,1737,F/1737/142397/1737-142397-0002,F
20464,8238,F/8238/283452/8238-283452-0032,F
14557,4853,F/4853/29413/4853-29413-0028,F
6878,3214,M/3214/167607/3214-167607-0023,M
17618,1737,F/1737/142397/1737-142397-0028,F
22356,39,F/39/121914/39-121914-0021,F
10603,8324,F/8324/286682/8324-286682-0031,F
7392,7780,F/7780/274562/7780-274562-0000,F
23826,8747,M/8747/293952/8747-293952-0060,M
6065,1455,M/1455/138263/1455-138263-0038,M
25030,1553,F/1553/140047/1553-140047-0036,F
26248,3723,M/3723/171115/3723-171115-0037,M
24146,5390,M/5390/30096/5390-30096-0032,M
27642,909,M/909/131041/909-131041-0028,M
3393,118,M/118/124588/118-124588-0019,M
2042,8770,M/8770/295463/8770-295463-0026,M
24775,7059,F/7059/77900/7059-77900-0018,F
26635,3879,F/3879/174923/3879-174923-0027,F
22617,8465,F/8465/246942/8465-246942-0004,F
23180,831,M/831/130739/831-130739-0000,M
6202,481,M/481/123719/481-123719-0027,M
4172,4051,F/4051/11217/4051-11217-0004,F
15057,3374,M/3374/298025/3374-298025-0026,M
6960,3214,M/3214/167606/3214-167606-0004,M
11668,3664,M/3664/178366/3664-178366-0006,M
11769,1992,F/1992/141719/1992-141719-0043,F
9675,8797,M/8797/294123/8797-294123-0089,M
13725,7794,F/7794/295955/7794-295955-0011,F
20439,8238,F/8238/283452/8238-283452-0009,F
8038,8975,F/8975/270782/8975-270782-0108,F
22350,39,F/39/121914/39-121914-0015,F
22949,322,F/322/124146/322-124146-0024,F
15568,8088,M/8088/284756/8088-284756-0058,M
11619,5808,M/5808/54425/5808-54425-0043,M
12933,8095,M/8095/274346/8095-274346-0050,M
21330,229,M/229/130880/229-130880-0039,M
10310,211,F/211/122442/211-122442-0041,F
14222,5049,M/5049/25947/5049-25947-0053,M
15659,6078,F/6078/54013/6078-54013-0047,F
8265,8468,F/8468/286673/8468-286673-0002,F
16307,78,M/78/368/78-368-0002,M
27820,2289,M/2289/152253/2289-152253-0001,M
21972,412,M/412/126975/412-126975-0019,M
7417,2817,F/2817/142371/2817-142371-0041,F
22819,7302,F/7302/86814/7302-86814-0037,F
27782,1088,F/1088/134315/1088-134315-0022,F
4561,201,M/201/122255/201-122255-0024,M
15331,233,M/233/155990/233-155990-0015,M
16898,4813,M/4813/248641/4813-248641-0020,M
6288,481,M/481/123720/481-123720-0023,M
10836,6147,F/6147/34607/6147-34607-0040,F
25637,4267,M/4267/287369/4267-287369-0036,M
11511,7800,F/7800/283478/7800-283478-0020,F
20763,3235,F/3235/28433/3235-28433-0049,F
13679,7794,F/7794/295947/7794-295947-0020,F
23819,8747,M/8747/293952/8747-293952-0071,M
4736,2989,F/2989/138035/2989-138035-0072,F
28392,87,F/87/121553/87-121553-0087,F
5417,7190,M/7190/90543/7190-90543-0037,M
6239,481,M/481/123720/481-123720-0029,M
4684,2989,F/2989/138035/2989-138035-0049,F
26210,3723,M/3723/171631/3723-171631-0030,M
22698,7302,F/7302/86815/7302-86815-0063,F
2062,7148,F/7148/59157/7148-59157-0024,F
10980,2910,F/2910/131096/2910-131096-0072,F
687,6367,M/6367/65536/6367-65536-0019,M
20858,6385,F/6385/34655/6385-34655-0011,F
48,441,F/441/128988/441-128988-0005,F
25701,302,F/302/123504/302-123504-0005,F
14387,2391,F/2391/145015/2391-145015-0090,F
2029,8770,M/8770/295465/8770-295465-0010,M
7495,2817,F/2817/142380/2817-142380-0010,F
709,5703,M/5703/47198/5703-47198-0037,M
25189,2893,M/2893/139322/2893-139322-0032,M
10365,211,F/211/122425/211-122425-0029,F
28270,8063,M/8063/274116/8063-274116-0025,M
28299,8063,M/8063/274112/8063-274112-0016,M
6181,481,M/481/123719/481-123719-0017,M
14613,289,F/289/121652/289-121652-0036,F
3129,625,M/625/132118/625-132118-0020,M
4620,201,M/201/127786/201-127786-0065,M
6705,311,M/311/124404/311-124404-0087,M
2326,5867,F/5867/48852/5867-48852-0071,F
9456,1867,M/1867/154075/1867-154075-0010,M
17742,405,M/405/130895/405-130895-0016,M
1582,1081,M/1081/125237/1081-125237-0078,M
14871,1447,F/1447/17506/1447-17506-0000,F
15237,5339,F/5339/14133/5339-14133-0052,F
3196,426,F/426/122819/426-122819-0028,F
9115,8108,M/8108/274318/8108-274318-0033,M
7890,6925,M/6925/80680/6925-80680-0029,M
11813,7402,M/7402/59171/7402-59171-0031,M
2043,8770,M/8770/295463/8770-295463-0024,M
7283,6019,M/6019/3185/6019-3185-0100,M
26055,5688,F/5688/41232/5688-41232-0054,F
10095,4214,F/4214/7146/4214-7146-0079,F
19212,669,F/669/129061/669-129061-0015,F
622,6367,M/6367/74004/6367-74004-0004,M
23379,198,F/198/126831/198-126831-0007,F
6431,1926,F/1926/147979/1926-147979-0037,F
13249,332,M/332/128985/332-128985-0043,M
11552,5808,M/5808/48608/5808-48608-0007,M
27172,8629,M/8629/261139/8629-261139-0072,M
16589,2196,F/2196/170151/2196-170151-0012,F
