,Class,duration,key,salience
8155,siren,4.0,1/siren/157866-8-0-10,1
3311,jackhammer,4.0,1/jackhammer/62837-7-0-37,1
7951,engine_idling,4.0,1/engine_idling/103249-5-0-16,1
967,engine_idling,4.0,1/engine_idling/118558-5-0-1,1
1156,jackhammer,4.0,1/jackhammer/162134-7-9-0,1
7679,street_music,4.0,1/street_music/41364-9-0-22,1
4130,jackhammer,4.0,1/jackhammer/22883-7-47-2,1
1112,jackhammer,4.0,1/jackhammer/162134-7-11-4,1
466,jackhammer,4.0,1/jackhammer/180937-7-0-2,1
6385,drilling,4.0,1/drilling/127443-4-0-2,1
2751,engine_idling,4.0,1/engine_idling/144068-5-4-5,1
8478,engine_idling,4.0,1/engine_idling/39856-5-0-13,1
6075,engine_idling,3.9999999999999982,1/engine_idling/62564-5-0-1,1
1109,jackhammer,4.0,1/jackhammer/162134-7-11-1,1
4665,siren,3.9999999999999987,1/siren/111671-8-0-6,1
3691,air_conditioner,4.0,1/air_conditioner/146709-0-0-34,1
2176,street_music,4.0,1/street_music/194841-9-0-144,1
4783,siren,4.0,1/siren/156869-8-0-8,1
7412,air_conditioner,4.0,1/air_conditioner/162103-0-0-2,1
2409,street_music,4.0,1/street_music/60605-9-0-34,1
8223,siren,4.0,1/siren/159748-8-0-8,1
1731,siren,4.0,1/siren/102871-8-0-8,1
421,engine_idling,4.0,1/engine_idling/176787-5-0-30,1
5018,drilling,4.0,1/drilling/180125-4-3-2,1
4096,engine_idling,4.0,1/engine_idling/209864-5-0-0,1
6878,engine_idling,3.9999999999999982,1/engine_idling/39857-5-1-1,1
4777,siren,4.000000000000001,1/siren/156869-8-0-2,1
4589,jackhammer,4.0,1/jackhammer/104998-7-17-12,1
3462,siren,4.0,1/siren/90014-8-0-3,1
7086,street_music,4.0,1/street_music/89443-9-0-1,1
5117,siren,4.0,1/siren/203913-8-0-9,1
4897,engine_idling,4.0,1/engine_idling/17578-5-0-3,1
8702,gun_shot,3.044845,1/gun_shot/87562-6-0-0,1
7459,street_music,4.0,1/street_music/16860-9-0-50,1
1327,jackhammer,4.0,1/jackhammer/188813-7-10-2,1
4121,jackhammer,4.0,1/jackhammer/22883-7-36-0,1
490,jackhammer,4.0,1/jackhammer/180937-7-2-3,1
7655,jackhammer,3.7792510000000017,1/jackhammer/33340-7-7-0,1
3409,drilling,3.604285000000005,1/drilling/69598-4-9-0,1
7687,drilling,3.9999999999999987,1/drilling/42324-4-2-2,1
2739,engine_idling,4.0,1/engine_idling/144068-5-0-6,1
6757,engine_idling,4.0,1/engine_idling/201988-5-0-1,1
6273,street_music,4.0,1/street_music/101848-9-0-1,1
2937,engine_idling,4.0,1/engine_idling/17853-5-0-11,1
4,gun_shot,2.61161,1/gun_shot/102305-6-0-0,1
7658,street_music,4.0,1/street_music/34866-9-0-10,1
6030,air_conditioner,4.0,1/air_conditioner/47160-0-0-2,1
8169,siren,4.0,1/siren/157866-8-0-23,1
4718,street_music,4.0,1/street_music/128152-9-0-49,1
1154,jackhammer,4.0,1/jackhammer/162134-7-8-6,1
6437,air_conditioner,4.0,1/air_conditioner/146845-0-0-0,1
4340,engine_idling,4.0,1/engine_idling/50661-5-0-0,1
3060,engine_idling,4.000000000000002,1/engine_idling/195451-5-0-20,1
2756,engine_idling,4.0,1/engine_idling/144068-5-5-1,1
4890,engine_idling,4.0,1/engine_idling/17578-5-0-23,1
680,drilling,4.0,1/drilling/46669-4-0-31,1
6270,street_music,4.0,1/street_music/99710-9-0-5,1
2684,air_conditioner,4.0,1/air_conditioner/13230-0-0-24,1
2872,drilling,4.0,1/drilling/165786-4-0-0,1
6765,engine_idling,4.0,1/engine_idling/201988-5-0-17,1
2743,engine_idling,4.0,1/engine_idling/144068-5-1-0,1
8351,drilling,4.0,1/drilling/180937-4-3-9,1
5283,drilling,4.0,1/drilling/71171-4-3-2,1
805,street_music,4.0,1/street_music/77766-9-0-6,1
1030,street_music,4.0,1/street_music/155241-9-0-56,1
1993,siren,4.0,1/siren/159750-8-0-5,1
4387,street_music,4.0,1/street_music/55728-9-0-28,1
3734,engine_idling,4.0,1/engine_idling/154758-5-0-1,1
3916,jackhammer,2.221323999999999,1/jackhammer/171305-7-1-0,1
4493,engine_idling,4.0,1/engine_idling/81068-5-0-4,1
1285,drilling,4.0,1/drilling/180127-4-0-5,1
7439,drilling,4.0,1/drilling/167702-4-8-0,1
1500,engine_idling,4.0,1/engine_idling/39847-5-0-8,1
6893,engine_idling,4.0,1/engine_idling/44737-5-0-0,1
717,drilling,4.0,1/drilling/55020-4-0-3,1
2219,engine_idling,4.000000000000013,1/engine_idling/201652-5-3-2,1
8499,engine_idling,4.0,1/engine_idling/39856-5-0-7,1
4487,street_music,4.0,1/street_music/76585-9-0-60,1
8141,street_music,4.0,1/street_music/155044-9-0-38,1
33,engine_idling,4.0,1/engine_idling/103258-5-0-10,1
7978,jackhammer,4.0,1/jackhammer/105029-7-1-4,1
7352,siren,4.0,1/siren/157868-8-0-11,1
5668,drilling,4.0,1/drilling/14114-4-0-1,1
2507,drilling,4.0,1/drilling/76086-4-0-32,1
8215,siren,4.0,1/siren/159748-8-0-0,1
198,engine_idling,2.366643,1/engine_idling/143604-5-0-0,1
3872,air_conditioner,4.0,1/air_conditioner/166942-0-0-13,1
1267,car_horn,2.153213,1/car_horn/179868-1-0-0,1
6812,engine_idling,4.0,1/engine_idling/209992-5-2-138,1
1885,air_conditioner,4.0,1/air_conditioner/147926-0-0-21,1
8564,drilling,4.0,1/drilling/58937-4-2-10,1
2160,air_conditioner,4.0,1/air_conditioner/189991-0-0-2,1
1348,air_conditioner,4.0,1/air_conditioner/189982-0-0-20,1
486,jackhammer,4.0,1/jackhammer/180937-7-2-0,1
2843,jackhammer,4.0,1/jackhammer/165039-7-0-0,1
3661,drilling,4.0,1/drilling/144351-4-1-1,1
6882,engine_idling,3.5466520000000017,1/engine_idling/39857-5-3-0,1
6082,engine_idling,4.0,1/engine_idling/62564-5-0-7,1
2360,street_music,4.0,1/street_music/39970-9-0-41,1
1143,jackhammer,2.5205530000000067,1/jackhammer/162134-7-4-0,1
3352,jackhammer,4.0,1/jackhammer/62837-7-1-65,1
163,air_conditioner,4.0,1/air_conditioner/134717-0-0-8,1
6359,street_music,4.0,1/street_music/115242-9-0-70,1
7893,engine_idling,4.0,1/engine_idling/91209-5-1-0,1
7392,drilling,4.000000000000006,1/drilling/161129-4-0-19,1
2709,gun_shot,2.5879770000000004,1/gun_shot/135526-6-2-0,1
4715,street_music,4.0,1/street_music/128152-9-0-126,1
7333,street_music,4.0,1/street_music/155217-9-1-58,1
3621,drilling,4.0,1/drilling/14110-4-0-0,1
7971,jackhammer,4.0,1/jackhammer/105029-7-1-1,1
5745,drilling,3.999999999999997,1/drilling/166931-4-1-4,1
226,drilling,4.0,1/drilling/147764-4-4-1,1
7143,engine_idling,4.0,1/engine_idling/113202-5-0-26,1
7685,drilling,3.9999999999999987,1/drilling/42324-4-2-0,1
1033,street_music,4.0,1/street_music/155241-9-0-8,1
6592,street_music,4.0,1/street_music/173891-9-0-11,1
3194,jackhammer,3.999999999999997,1/jackhammer/31884-7-1-1,1
83,engine_idling,4.0,1/engine_idling/113205-5-1-4,1
714,drilling,4.0,1/drilling/55020-4-0-13,1
1155,jackhammer,4.0,1/jackhammer/162134-7-8-7,1
2532,drilling,3.887697000000003,1/drilling/77751-4-5-0,1
174,street_music,4.0,1/street_music/137156-9-0-30,1
7953,engine_idling,4.0,1/engine_idling/103249-5-0-18,1
5757,drilling,4.0,1/drilling/166931-4-4-2,1
7134,engine_idling,4.0,1/engine_idling/113202-5-0-18,1
1709,drilling,4.0,1/drilling/99192-4-0-7,1
2149,air_conditioner,4.0,1/air_conditioner/189023-0-0-13,1
5924,jackhammer,4.0,1/jackhammer/30206-7-0-13,1
2471,air_conditioner,4.0,1/air_conditioner/74507-0-0-1,1
5159,engine_idling,4.0,1/engine_idling/23219-5-0-7,1
627,car_horn,4.0,1/car_horn/24074-1-0-10,1
2121,drilling,4.0,1/drilling/180126-4-3-0,1
3092,car_horn,3.999999999999997,1/car_horn/199769-1-0-8,1
3579,street_music,4.0,1/street_music/131428-9-1-0,1
7950,engine_idling,4.0,1/engine_idling/103249-5-0-15,1
2198,gun_shot,2.376423999999999,1/gun_shot/197320-6-2-0,1
4012,air_conditioner,4.0,1/air_conditioner/185709-0-0-5,1
141,air_conditioner,4.0,1/air_conditioner/134717-0-0-1,1
6816,engine_idling,4.0,1/engine_idling/209992-5-2-77,1
974,engine_idling,4.0,1/engine_idling/118558-5-2-2,1
811,drilling,4.0,1/drilling/78360-4-0-14,1
6441,air_conditioner,4.0,1/air_conditioner/146845-0-0-12,1
3048,engine_idling,4.0,1/engine_idling/195451-5-0-1,1
3382,drilling,4.0,1/drilling/63095-4-1-7,1
6356,street_music,4.0,1/street_music/115242-9-0-44,1
7154,engine_idling,4.0,1/engine_idling/113203-5-0-1,1
6854,street_music,4.0,1/street_music/28385-9-0-65,1
1141,jackhammer,4.0,1/jackhammer/162134-7-2-0,1
1547,air_conditioner,4.0,1/air_conditioner/73524-0-0-30,1
7608,drilling,3.9999999999999987,1/drilling/205610-4-0-3,1
2871,jackhammer,4.0,1/jackhammer/165039-7-9-0,1
1546,air_conditioner,4.0,1/air_conditioner/73524-0-0-23,1
7413,air_conditioner,4.0,1/air_conditioner/162103-0-0-3,1
856,jackhammer,2.5350050000000004,1/jackhammer/98223-7-0-0,1
7767,jackhammer,4.0,1/jackhammer/68080-7-0-5,1
2509,drilling,4.0,1/drilling/76086-4-0-38,1
3748,engine_idling,4.0,1/engine_idling/154758-5-0-3,1
4129,jackhammer,4.0,1/jackhammer/22883-7-44-0,1
4124,jackhammer,2.392162000000013,1/jackhammer/22883-7-37-0,1
4496,engine_idling,2.691558999999998,1/engine_idling/81068-5-2-0,1
8081,drilling,4.0,1/drilling/14111-4-0-3,1
790,street_music,4.0,1/street_music/73277-9-0-16,1
365,jackhammer,4.0,1/jackhammer/174276-7-4-0,1
8718,jackhammer,4.0,1/jackhammer/98859-7-2-0,1
7021,drilling,4.0,1/drilling/74965-4-0-0,1
4126,jackhammer,4.0,1/jackhammer/22883-7-39-1,1
480,jackhammer,4.0,1/jackhammer/180937-7-1-4,1
2745,engine_idling,3.8869640000000065,1/engine_idling/144068-5-3-0,1
8548,drilling,4.0,1/drilling/54976-4-1-0,1
3662,drilling,4.0,1/drilling/144351-4-2-0,1
976,air_conditioner,4.0,1/air_conditioner/119067-0-0-0,1
6773,engine_idling,4.000000000000001,1/engine_idling/201988-5-0-4,1
285,siren,4.0,1/siren/157867-8-0-7,1
5472,drilling,4.000000000000004,1/drilling/107842-4-2-2,1
6999,drilling,3.9999999999999982,1/drilling/71529-4-1-1,1
2448,jackhammer,4.0,1/jackhammer/73623-7-1-0,1
4640,street_music,4.0,1/street_music/109263-9-0-54,1
2375,engine_idling,4.0,1/engine_idling/44735-5-0-0,1
1738,drilling,4.0,1/drilling/104817-4-0-3,1
5594,jackhammer,4.000000000000001,1/jackhammer/131918-7-0-6,1
5498,engine_idling,3.9999999999999987,1/engine_idling/111386-5-0-5,1
8172,siren,4.0,1/siren/157866-8-0-26,1
2526,drilling,4.0,1/drilling/77751-4-0-1,1
4677,street_music,4.0,1/street_music/115239-9-0-2,1
247,air_conditioner,3.9999999999999982,1/air_conditioner/151977-0-0-9,1
2945,engine_idling,4.000000000000006,1/engine_idling/17853-5-0-5,1
2492,air_conditioner,4.0,1/air_conditioner/74507-0-0-6,1
6438,air_conditioner,4.0,1/air_conditioner/146845-0-0-1,1
6300,drilling,4.0,1/drilling/104625-4-0-57,1
214,engine_idling,4.0,1/engine_idling/146186-5-0-3,1
5891,air_conditioner,4.0,1/air_conditioner/204240-0-0-8,1
4136,jackhammer,3.857360999999969,1/jackhammer/22883-7-54-0,1
4920,jackhammer,4.0,1/jackhammer/178260-7-1-10,1
6059,drilling,4.0,1/drilling/58005-4-0-24,1
3940,jackhammer,3.8631720000000014,1/jackhammer/171305-7-5-0,1
5955,jackhammer,4.0,1/jackhammer/30206-7-0-6,1
5934,jackhammer,4.0,1/jackhammer/30206-7-0-22,1
4316,street_music,4.0,1/street_music/39968-9-0-69,1
4698,air_conditioner,4.0,1/air_conditioner/121286-0-0-13,1
1280,drilling,4.0,1/drilling/180127-4-0-2,1
7225,jackhammer,4.0,1/jackhammer/125678-7-1-7,1
1687,drilling,4.0,1/drilling/99192-4-0-17,1
8118,street_music,4.0,1/street_music/149255-9-0-5,1
7124,engine_idling,4.0,1/engine_idling/113202-5-0-0,1
2859,jackhammer,4.0,1/jackhammer/165039-7-3-0,1
3729,drilling,3.999999999999997,1/drilling/151005-4-3-1,1
5839,street_music,4.0,1/street_music/194321-9-0-100,1
2363,street_music,4.0,1/street_music/39970-9-0-98,1
196,drilling,4.0,1/drilling/14113-4-0-0,1
5743,drilling,4.0,1/drilling/166931-4-0-1,1
1535,air_conditioner,4.0,1/air_conditioner/73524-0-0-0,1
7862,drilling,4.0,1/drilling/76085-4-0-66,1
1238,gun_shot,2.4619220000000013,1/gun_shot/174289-6-2-0,1
7036,jackhammer,3.9949979999999954,1/jackhammer/77751-7-5-0,1
3459,siren,4.0,1/siren/90014-8-0-0,1
1700,drilling,4.0,1/drilling/99192-4-0-41,1
468,jackhammer,4.0,1/jackhammer/180937-7-0-5,1
2602,drilling,4.0,1/drilling/103199-4-0-5,1
7243,jackhammer,4.0,1/jackhammer/125678-7-3-7,1
4893,engine_idling,4.0,1/engine_idling/17578-5-0-26,1
8126,street_music,4.0,1/street_music/152570-9-0-0,1
6866,street_music,4.0,1/street_music/36264-9-0-1,1
7589,street_music,4.0,1/street_music/194733-9-0-7,1
6964,street_music,4.0,1/street_music/61789-9-0-65,1
5125,engine_idling,4.0,1/engine_idling/203962-5-0-1,1
5006,drilling,4.0,1/drilling/180125-4-1-3,1
1341,air_conditioner,4.0,1/air_conditioner/189982-0-0-11,1
4716,street_music,4.0,1/street_music/128152-9-0-167,1
5036,drilling,4.0,1/drilling/180128-4-7-2,1
4320,street_music,4.0,1/street_music/42954-9-0-12,1
7146,engine_idling,4.0,1/engine_idling/113202-5-0-3,1
8709,street_music,4.0,1/street_music/94182-9-0-9,1
3339,jackhammer,4.0,1/jackhammer/62837-7-1-46,1
3578,street_music,4.0,1/street_music/131428-9-0-5,1
2214,engine_idling,4.0,1/engine_idling/201652-5-2-3,1
6962,street_music,4.0,1/street_music/61789-9-0-16,1
8003,jackhammer,4.0,1/jackhammer/105029-7-3-2,1
1290,drilling,2.307806,1/drilling/181624-4-0-0,1
1715,engine_idling,4.0,1/engine_idling/102858-5-0-0,1
3735,engine_idling,4.0,1/engine_idling/154758-5-0-10,1
5954,jackhammer,4.0,1/jackhammer/30206-7-0-5,1
1494,engine_idling,4.0,1/engine_idling/39847-5-0-2,1
7778,gun_shot,2.189223,1/gun_shot/7068-6-0-0,1
4376,air_conditioner,4.0,1/air_conditioner/55018-0-0-248,1
79,engine_idling,4.0,1/engine_idling/113205-5-1-0,1
2855,jackhammer,4.0,1/jackhammer/165039-7-17-0,1
3181,air_conditioner,4.000000000000001,1/air_conditioner/30204-0-0-2,1
161,air_conditioner,4.0,1/air_conditioner/134717-0-0-6,1
8316,drilling,2.2476079999999925,1/drilling/180029-4-20-0,1
3184,air_conditioner,4.0,1/air_conditioner/30204-0-0-5,1
3214,drilling,4.0,1/drilling/37560-4-0-3,1
8318,drilling,2.4859909999999985,1/drilling/180029-4-5-0,1
7354,siren,4.0,1/siren/157868-8-0-13,1
6597,gun_shot,2.62643,1/gun_shot/174284-6-1-0,1
3652,engine_idling,4.0,1/engine_idling/144007-5-1-4,1
8713,street_music,4.0,1/street_music/96921-9-0-18,1
6129,drilling,2.604009,1/drilling/71088-4-1-0,1
7355,siren,4.0,1/siren/157868-8-0-14,1
491,jackhammer,4.0,1/jackhammer/180937-7-2-4,1
8177,siren,4.0,1/siren/157866-8-0-6,1
1157,jackhammer,4.0,1/jackhammer/162134-7-9-1,1
7652,jackhammer,4.0,1/jackhammer/33340-7-4-0,1
3161,drilling,4.0,1/drilling/29721-4-0-1,1
3318,jackhammer,4.0,1/jackhammer/62837-7-1-14,1
1501,engine_idling,4.0,1/engine_idling/39847-5-0-9,1
7027,drilling,4.0,1/drilling/74965-4-1-2,1
2565,engine_idling,4.0,1/engine_idling/94710-5-0-0,1
8600,engine_idling,4.0,1/engine_idling/62567-5-0-3,1
5488,street_music,4.0,1/street_music/110868-9-0-14,1
2749,engine_idling,4.0,1/engine_idling/144068-5-4-3,1
7723,air_conditioner,4.0,1/air_conditioner/54383-0-0-4,1
6164,engine_idling,4.0,1/engine_idling/78651-5-0-10,1
7238,jackhammer,4.0,1/jackhammer/125678-7-3-2,1
1598,street_music,4.0,1/street_music/77901-9-0-1,1
86,engine_idling,4.0,1/engine_idling/113205-5-1-7,1
1835,street_music,4.0,1/street_music/14387-9-0-16,1
2155,air_conditioner,4.0,1/air_conditioner/189023-0-0-7,1
7469,air_conditioner,4.0,1/air_conditioner/170022-0-0-1,1
1856,air_conditioner,4.0,1/air_conditioner/146690-0-0-154,1
4119,jackhammer,4.0,1/jackhammer/22883-7-35-2,1
3869,air_conditioner,4.0,1/air_conditioner/166942-0-0-10,1
3398,drilling,2.435328000000001,1/drilling/69598-4-0-0,1
5691,street_music,4.000000000000006,1/street_music/155127-9-1-24,1
157,air_conditioner,4.0,1/air_conditioner/134717-0-0-27,1
7659,street_music,4.0,1/street_music/34866-9-0-11,1
631,car_horn,4.0,1/car_horn/24074-1-0-2,1
4628,street_music,4.0,1/street_music/105425-9-0-23,1
5481,street_music,4.0,1/street_music/108638-9-0-6,1
6479,jackhammer,3.8953250000000033,1/jackhammer/14772-7-9-0,1
2066,gun_shot,2.3261119999999997,1/gun_shot/174293-6-1-0,1
425,engine_idling,4.0,1/engine_idling/176787-5-0-7,1
663,siren,4.0,1/siren/43806-8-0-0,1
3052,engine_idling,4.0,1/engine_idling/195451-5-0-13,1
4658,siren,4.0,1/siren/111671-8-0-2,1
1685,drilling,4.0,1/drilling/99192-4-0-12,1
5115,siren,4.0,1/siren/203913-8-0-7,1
2616,drilling,4.0,1/drilling/103199-4-2-9,1
4408,street_music,4.0,1/street_music/61790-9-1-1,1
1066,engine_idling,3.999999999999997,1/engine_idling/15544-5-0-4,1
8475,engine_idling,4.0,1/engine_idling/39856-5-0-10,1
1558,air_conditioner,4.0,1/air_conditioner/73524-0-0-92,1
1904,street_music,4.0,1/street_music/149254-9-0-29,1
995,street_music,4.0,1/street_music/136558-9-0-1,1
2388,engine_idling,3.589516,1/engine_idling/50898-5-0-0,1
4569,jackhammer,4.0,1/jackhammer/104998-7-10-8,1
1279,drilling,4.000000000000002,1/drilling/180127-4-0-19,1
2537,drilling,4.0,1/drilling/77751-4-9-1,1
6203,street_music,4.0,1/street_music/89442-9-0-34,1
3625,engine_idling,4.0,1/engine_idling/144007-5-0-1,1
8317,drilling,3.1670849999999997,1/drilling/180029-4-4-0,1
1147,jackhammer,4.0,1/jackhammer/162134-7-7-1,1
1272,drilling,4.0,1/drilling/180127-4-0-12,1
3725,drilling,4.000000000000002,1/drilling/151005-4-1-2,1
7183,street_music,4.000000000000004,1/street_music/115240-9-0-34,1
2679,air_conditioner,4.0,1/air_conditioner/13230-0-0-18,1
4106,jackhammer,4.0,1/jackhammer/22883-7-17-4,1
6076,engine_idling,4.000000000000002,1/engine_idling/62564-5-0-10,1
6295,drilling,3.9999999999999933,1/drilling/104625-4-0-48,1
871,street_music,4.0,1/street_music/99180-9-0-49,1
1541,air_conditioner,4.0,1/air_conditioner/73524-0-0-127,1
7359,siren,4.0,1/siren/157868-8-0-18,1
14,jackhammer,3.999999999999997,1/jackhammer/103074-7-1-2,1
904,engine_idling,4.0,1/engine_idling/102857-5-0-2,1
4928,jackhammer,4.0,1/jackhammer/178260-7-1-9,1
7004,drilling,3.9999999999999982,1/drilling/71529-4-1-6,1
2487,air_conditioner,4.0,1/air_conditioner/74507-0-0-27,1
7644,jackhammer,3.139685,1/jackhammer/33340-7-11-0,1
8216,siren,4.0,1/siren/159748-8-0-1,1
7650,jackhammer,2.6745470000000005,1/jackhammer/33340-7-2-0,1
804,street_music,4.0,1/street_music/77766-9-0-5,1
259,siren,4.0,1/siren/157867-8-0-0,1
5872,air_conditioner,4.0,1/air_conditioner/204240-0-0-20,1
2800,air_conditioner,4.0,1/air_conditioner/153261-0-0-1,1
5878,air_conditioner,4.0,1/air_conditioner/204240-0-0-27,1
2614,drilling,4.0,1/drilling/103199-4-2-7,1
1236,gun_shot,2.220557,1/gun_shot/174289-6-0-0,1
6389,drilling,4.0,1/drilling/127443-4-0-6,1
3837,siren,4.0,1/siren/159753-8-0-1,1
175,street_music,4.0,1/street_music/137156-9-0-31,1
7402,air_conditioner,4.0,1/air_conditioner/162103-0-0-0,1
1405,engine_idling,4.0,1/engine_idling/200786-5-1-2,1
6850,street_music,4.0,1/street_music/28385-9-0-33,1
8393,jackhammer,4.0,1/jackhammer/188823-7-0-4,1
8266,street_music,4.0,1/street_music/168906-9-0-114,1
2688,air_conditioner,4.0,1/air_conditioner/13230-0-0-28,1
4525,air_conditioner,4.0,1/air_conditioner/100852-0-0-11,1
1841,engine_idling,3.9999999999999987,1/engine_idling/143970-5-0-3,1
3641,engine_idling,4.000000000000001,1/engine_idling/144007-5-0-5,1
3191,jackhammer,4.0,1/jackhammer/31884-7-0-2,1
8259,air_conditioner,4.0,1/air_conditioner/165454-0-0-8,1
4750,engine_idling,4.0,1/engine_idling/156634-5-0-0,1
4552,air_conditioner,4.0,1/air_conditioner/100852-0-0-9,1
3185,air_conditioner,4.0,1/air_conditioner/30204-0-0-6,1
2879,engine_idling,4.0,1/engine_idling/166101-5-2-1,1
5755,drilling,4.0,1/drilling/166931-4-3-2,1
6192,engine_idling,4.0,1/engine_idling/83680-5-0-3,1
2609,drilling,4.0,1/drilling/103199-4-2-2,1
6595,street_music,4.0,1/street_music/173891-9-0-7,1
1701,drilling,4.0,1/drilling/99192-4-0-43,1
5513,engine_idling,4.0,1/engine_idling/111386-5-1-7,1
380,engine_idling,4.000000000000002,1/engine_idling/17592-5-1-2,1
8367,street_music,4.000000000000004,1/street_music/185374-9-0-30,1
8219,siren,4.0,1/siren/159748-8-0-4,1
3633,engine_idling,3.9999999999999982,1/engine_idling/144007-5-0-17,1
1454,drilling,3.241427,1/drilling/26344-4-1-0,1
113,engine_idling,4.0,1/engine_idling/119455-5-0-0,1
5151,engine_idling,4.0,1/engine_idling/23219-5-0-11,1
3946,street_music,4.0,1/street_music/172338-9-0-1,1
6911,drilling,3.9999999999999982,1/drilling/50629-4-1-0,1
6715,air_conditioner,4.0,1/air_conditioner/189981-0-0-2,1
2187,street_music,4.0,1/street_music/196384-9-0-11,1
2473,air_conditioner,4.0,1/air_conditioner/74507-0-0-11,1
5888,air_conditioner,4.0,1/air_conditioner/204240-0-0-5,1
7254,street_music,4.0,1/street_music/126153-9-0-1,1
8695,drilling,3.9999999999999987,1/drilling/81117-4-0-5,1
673,drilling,4.0,1/drilling/46669-4-0-0,1
6402,drilling,4.000000000000028,1/drilling/130961-4-3-2,1
7157,engine_idling,4.0,1/engine_idling/113203-5-0-4,1
7219,jackhammer,4.0,1/jackhammer/125678-7-1-1,1
2501,drilling,4.0,1/drilling/76086-4-0-22,1
6774,engine_idling,4.0,1/engine_idling/201988-5-0-5,1
5414,air_conditioner,4.0,1/air_conditioner/85569-0-0-5,1
7560,engine_idling,4.0,1/engine_idling/186935-5-0-1,1
7391,drilling,4.000000000000004,1/drilling/161129-4-0-16,1
7349,siren,4.0,1/siren/157868-8-0-0,1
5478,street_music,4.0,1/street_music/108638-9-0-2,1
2692,air_conditioner,4.0,1/air_conditioner/13230-0-0-7,1
345,drilling,4.0,1/drilling/165642-4-0-0,1
8167,siren,4.0,1/siren/157866-8-0-21,1
7817,street_music,4.0,1/street_music/7390-9-1-11,1
1190,drilling,4.0,1/drilling/165640-4-0-2,1
1589,drilling,4.0,1/drilling/74922-4-0-0,1
426,engine_idling,4.0,1/engine_idling/176787-5-0-8,1
1762,engine_idling,3.9999999999999987,1/engine_idling/106015-5-0-6,1
2611,drilling,4.0,1/drilling/103199-4-2-4,1
938,street_music,4.0,1/street_music/115418-9-0-11,1
5163,engine_idling,4.0,1/engine_idling/23219-5-1-1,1
6172,engine_idling,4.0,1/engine_idling/78651-5-0-2,1
2500,drilling,4.0,1/drilling/76086-4-0-2,1
194,street_music,4.0,1/street_music/139951-9-0-45,1
2705,gun_shot,2.612162999999999,1/gun_shot/135526-6-10-0,1
6803,engine_idling,4.0,1/engine_idling/209992-5-0-0,1
3406,drilling,4.000000000000006,1/drilling/69598-4-6-1,1
5430,jackhammer,4.0,1/jackhammer/90013-7-0-1,1
2613,drilling,4.0,1/drilling/103199-4-2-6,1
3737,engine_idling,4.0,1/engine_idling/154758-5-0-12,1
5738,drilling,4.0,1/drilling/165641-4-0-1,1
3644,engine_idling,4.000000000000001,1/engine_idling/144007-5-0-8,1
1326,jackhammer,4.0,1/jackhammer/188813-7-10-1,1
5771,drilling,4.0,1/drilling/167701-4-6-3,1
379,engine_idling,4.000000000000002,1/engine_idling/17592-5-1-1,1
7405,air_conditioner,4.0,1/air_conditioner/162103-0-0-11,1
3485,street_music,4.0,1/street_music/94631-9-1-3,1
2620,drilling,4.0,1/drilling/103357-4-0-0,1
585,street_music,4.0,1/street_music/194732-9-0-95,1
5467,drilling,4.0,1/drilling/107842-4-0-1,1
2813,street_music,4.0,1/street_music/155227-9-0-3,1
8099,street_music,4.0,1/street_music/145390-9-0-13,1
